AT1G01480
AT1G02310
AT1G02340
AT1G03210
AT1G03457
AT1G03870
AT1G05260
AT1G05570
AT1G06000
AT1G06430
AT1G06650
AT1G07650
AT1G07740
AT1G09090
AT1G09390
AT1G09750
AT1G11790
AT1G11880
AT1G12230
AT1G12240
AT1G12845
AT1G13420
AT1G14580
AT1G15460
AT1G16720
AT1G20010
AT1G20190
AT1G21070
AT1G21100
AT1G21110
AT1G21120
AT1G22430
AT1G22740
AT1G27460
AT1G27540
AT1G28710
AT1G30130
AT1G30370
AT1G30380
AT1G30750
AT1G34040
AT1G34060
AT1G42550
AT1G43020
AT1G44575
AT1G44970
AT1G48480
AT1G50250
AT1G54730
AT1G61590
AT1G61740
AT1G62510
AT1G62580
AT1G64910
AT1G64920
AT1G65060
AT1G68410
AT1G69920
AT1G70580
AT1G70890
AT1G70900
AT1G71740
AT1G72900
AT1G75780
AT1G76090
AT1G76490
AT1G77410
AT1G78560
AT1G79410
AT1G80320
AT1G80590
AT2G02080
AT2G02780
AT2G02950
AT2G06850
AT2G06925
AT2G14900
AT2G15300
AT2G18150
AT2G23000
AT2G23170
AT2G23910
AT2G25160
AT2G26360
AT2G26640
AT2G26980
AT2G27370
AT2G28670
AT2G29330
AT2G30210
AT2G30520
AT2G32300
AT2G32530
AT2G33360
AT2G34770
AT2G36100
AT2G36430
AT2G38170
AT2G38300
AT2G39010
AT2G39430
AT2G40160
AT2G40260
AT2G41705
AT2G42320
AT2G42900
AT2G43050
AT2G44740
AT2G45180
AT2G46420
AT2G46930
AT2G47630
AT2G48020
AT2G48030
AT2G48130
AT2G48140
AT3G02750
AT3G05150
AT3G08600
AT3G09780
AT3G10520
AT3G11210
AT3G11340
AT3G11550
AT3G12700
AT3G13560
AT3G14680
AT3G14850
AT3G16850
AT3G18830
AT3G20090
AT3G20110
AT3G21260
AT3G21560
AT3G21670
AT3G22460
AT3G22540
AT3G22620
AT3G23470
AT3G23730
AT3G23750
AT3G24190
AT3G26300
AT3G26470
AT3G27170
AT3G27770
AT3G28040
AT3G28130
AT3G32030
AT3G44300
AT3G44310
AT3G45780
AT3G46700
AT3G49780
AT3G50280
AT3G50640
AT3G51240
AT3G51830
AT3G53210
AT3G55120
AT3G59140
AT3G62390
AT4G00700
AT4G00710
AT4G01140
AT4G02090
AT4G02410
AT4G04750
AT4G04850
AT4G04955
AT4G05170
AT4G08690
AT4G08770
AT4G11190
AT4G11290
AT4G12690
AT4G12730
AT4G13580
AT4G13590
AT4G15390
AT4G15480
AT4G15490
AT4G16270
AT4G16670
AT4G17215
AT4G19720
AT4G20110
AT4G20140
AT4G20820
AT4G22460
AT4G25200
AT4G25560
AT4G25830
AT4G26140
AT4G27030
AT4G27040
AT4G27670
AT4G28040
AT4G28085
AT4G28350
AT4G28740
AT4G29270
AT4G29590
AT4G30420
AT4G32710
AT4G33050
AT4G35060
AT4G36430
AT4G36670
AT4G38460
AT4G39070
AT4G39350
AT5G01620
AT5G02000
AT5G02200
AT5G02580
AT5G04330
AT5G04490
AT5G05270
AT5G05900
AT5G06200
AT5G07190
AT5G07280
AT5G07820
AT5G07990
AT5G08050
AT5G08640
AT5G09230
AT5G09870
AT5G10470
AT5G11420
AT5G13140
AT5G13630
AT5G14120
AT5G15410
AT5G16770
AT5G20110
AT5G20410
AT5G22270
AT5G22300
AT5G23220
AT5G23920
AT5G24410
AT5G26660
AT5G27200
AT5G27350
AT5G27450
AT5G27930
AT5G28020
AT5G35970
AT5G38020
AT5G38030
AT5G38550
AT5G40170
AT5G40890
AT5G41040
AT5G41260
AT5G42180
AT5G42250
AT5G42270
AT5G42590
AT5G42600
AT5G43600
AT5G44130
AT5G45200
AT5G45210
AT5G46050
AT5G47560
AT5G47830
AT5G47990
AT5G48000
AT5G48010
AT5G48290
AT5G48880
AT5G49360
AT5G51680
AT5G51690
AT5G53370
AT5G53680
AT5G53970
AT5G56870
AT5G57050
AT5G58350
AT5G58660
AT5G59250
AT5G59530
AT5G61290
AT5G62210
AT5G64330
AT5G64620
AT5G65380
AT5G65390
AT5G66390
AT5G67340
