AT1G01210
AT1G01225
AT1G01240
AT1G01510
AT1G01550
AT1G01900
AT1G02170
AT1G02450
AT1G02460
AT1G02640
AT1G02720
AT1G02860
AT1G02950
AT1G03070
AT1G03080
AT1G03090
AT1G03100
AT1G03110
AT1G03410
AT1G03440
AT1G03445
AT1G03610
AT1G04000
AT1G04020
AT1G04170
AT1G04190
AT1G04330
AT1G04480
AT1G04550
AT1G04680
AT1G04760
AT1G04780
AT1G04820
AT1G04860
AT1G04870
AT1G04930
AT1G05170
AT1G05190
AT1G05200
AT1G05210
AT1G05330
AT1G05385
AT1G05460
AT1G05577
AT1G05760
AT1G05850
AT1G06020
AT1G06090
AT1G06120
AT1G06220
AT1G06230
AT1G06240
AT1G06270
AT1G06380
AT1G06390
AT1G06470
AT1G06490
AT1G06530
AT1G06670
AT1G06720
AT1G06790
AT1G06900
AT1G07070
AT1G07260
AT1G07320
AT1G07350
AT1G07370
AT1G07380
AT1G07430
AT1G07500
AT1G07620
AT1G07640
AT1G07790
AT1G07840
AT1G07910
AT1G08310
AT1G08340
AT1G08390
AT1G08430
AT1G08550
AT1G08780
AT1G08980
AT1G09340
AT1G09415
AT1G09420
AT1G09440
AT1G09460
AT1G09610
AT1G09620
AT1G09660
AT1G09760
AT1G09830
AT1G09910
AT1G10270
AT1G10300
AT1G10310
AT1G10360
AT1G10370
AT1G10380
AT1G10670
AT1G10780
AT1G10800
AT1G10850
AT1G10900
AT1G10970
AT1G11080
AT1G11090
AT1G11100
AT1G11190
AT1G11210
AT1G11240
AT1G11280
AT1G11360
AT1G11450
AT1G11545
AT1G11570
AT1G11720
AT1G11740
AT1G12010
AT1G12140
AT1G12200
AT1G12260
AT1G12370
AT1G12430
AT1G12450
AT1G12500
AT1G12780
AT1G12830
AT1G13020
AT1G13050
AT1G13120
AT1G13160
AT1G13170
AT1G13195
AT1G13270
AT1G13340
AT1G13450
AT1G13690
AT1G13730
AT1G13740
AT1G13900
AT1G14040
AT1G14090
AT1G14190
AT1G14240
AT1G14300
AT1G14340
AT1G14350
AT1G14530
AT1G14610
AT1G14670
AT1G14710
AT1G14730
AT1G14810
AT1G14890
AT1G15000
AT1G15080
AT1G15250
AT1G15380
AT1G15440
AT1G15960
AT1G16000
AT1G16030
AT1G16280
AT1G16310
AT1G16340
AT1G16480
AT1G16500
AT1G16520
AT1G16570
AT1G16610
AT1G16740
AT1G16780
AT1G16790
AT1G16830
AT1G16870
AT1G16920
AT1G17070
AT1G17080
AT1G17090
AT1G17100
AT1G17130
AT1G17140
AT1G17360
AT1G17470
AT1G17510
AT1G17560
AT1G17950
AT1G17960
AT1G18040
AT1G18060
AT1G18100
AT1G18320
AT1G18340
AT1G18570
AT1G18640
AT1G19170
AT1G19230
AT1G19240
AT1G19270
AT1G19300
AT1G19530
AT1G19540
